predation,site,site_brom.id,functional_group,ord,family,total_biomass,mean_temp,sd_mean_temp
prey,argentina,argentina_1,gatherer,Diptera,Chironomidae,0.3888888888888889,23.252176616915428,2.5046073241896303
prey,argentina,argentina_1,scraper,Coleoptera,Scirtidae,1.1052631578947367,23.252176616915428,2.5046073241896303
prey,argentina,argentina_1,shredder,Diptera,Tipulidae,2.3,23.252176616915428,2.5046073241896303
predator,argentina,argentina_10,piercer,Diptera,Tabanidae,3,NA,NA
prey,argentina,argentina_10,gatherer,Diptera,Chironomidae,0.08571428571428573,NA,NA
prey,argentina,argentina_10,shredder,Diptera,Tipulidae,2.5090909090909093,NA,NA
predator,argentina,argentina_11,piercer,Diptera,Tabanidae,4.2,22.943718905472636,2.40253787116834
prey,argentina,argentina_11,filter.feeder,Diptera,Culicidae,0.32941176470588235,22.943718905472636,2.40253787116834
prey,argentina,argentina_11,gatherer,Diptera,Chironomidae,1.0903846153846153,22.943718905472636,2.40253787116834
prey,argentina,argentina_11,gatherer,Diptera,Psychodidae,1.3,22.943718905472636,2.40253787116834
prey,argentina,argentina_11,scraper,Coleoptera,Scirtidae,0.7,22.943718905472636,2.40253787116834
prey,argentina,argentina_11,shredder,Diptera,Tipulidae,0.2,22.943718905472636,2.40253787116834
predator,argentina,argentina_12,piercer,Diptera,Tabanidae,14.6,23.488495024875622,2.23026760427425
prey,argentina,argentina_12,gatherer,Diptera,Chironomidae,0.224,23.488495024875622,2.23026760427425
prey,argentina,argentina_12,gatherer,Diptera,Psychodidae,1.8857142857142857,23.488495024875622,2.23026760427425
prey,argentina,argentina_12,gatherer,Diptera,Stratiomyidae,6.3,23.488495024875622,2.23026760427425
prey,argentina,argentina_12,scraper,Coleoptera,Scirtidae,4.5,23.488495024875622,2.23026760427425
prey,argentina,argentina_12,shredder,Diptera,Tipulidae,1.8,23.488495024875622,2.23026760427425
predator,argentina,argentina_13,engulfer,Coleoptera,Hydrophilidae,4.4,23.295398009950244,2.4071836030831157
predator,argentina,argentina_13,piercer,Diptera,Tabanidae,7.5,23.295398009950244,2.4071836030831157
prey,argentina,argentina_13,gatherer,Diptera,Chironomidae,1.2320000000000002,23.295398009950244,2.4071836030831157
prey,argentina,argentina_13,gatherer,Diptera,Psychodidae,0.4714285714285714,23.295398009950244,2.4071836030831157
prey,argentina,argentina_13,gatherer,Diptera,Syrphidae,39.199999999999996,23.295398009950244,2.4071836030831157
prey,argentina,argentina_13,scraper,Coleoptera,Scirtidae,0.4,23.295398009950244,2.4071836030831157
prey,argentina,argentina_14,filter.feeder,Diptera,Culicidae,0.4117647058823529,23.254042288557212,2.4715533267745466
prey,argentina,argentina_14,gatherer,Diptera,Chironomidae,0.5555555555555556,23.254042288557212,2.4715533267745466
prey,argentina,argentina_14,scraper,Coleoptera,Scirtidae,8.138297872340425,23.254042288557212,2.4715533267745466
prey,argentina,argentina_14,shredder,Diptera,Tipulidae,0.9,23.254042288557212,2.4715533267745466
prey,argentina,argentina_15,gatherer,Diptera,Chironomidae,0.11111111111111112,23.493781094527364,2.4280795873486336
prey,argentina,argentina_15,scraper,Coleoptera,Scirtidae,0.6,23.493781094527364,2.4280795873486336
prey,argentina,argentina_16,gatherer,Diptera,Chironomidae,0.611111111111111,23.87966417910448,2.5683184663359646
prey,argentina,argentina_16,scraper,Coleoptera,Scirtidae,4.437931034482759,23.87966417910448,2.5683184663359646
prey,argentina,argentina_16,shredder,Diptera,Tipulidae,2.5090909090909093,23.87966417910448,2.5683184663359646
predator,argentina,argentina_17,piercer,Diptera,Tabanidae,6.1000000000000005,24.283271144278604,2.5145673535324176
prey,argentina,argentina_17,filter.feeder,Diptera,Culicidae,0.08235294117647059,24.283271144278604,2.5145673535324176
prey,argentina,argentina_17,gatherer,Diptera,Chironomidae,0.75,24.283271144278604,2.5145673535324176
prey,argentina,argentina_17,scraper,Coleoptera,Scirtidae,0.12112676056338027,24.283271144278604,2.5145673535324176
prey,argentina,argentina_17,shredder,Diptera,Tipulidae,0.3,24.283271144278604,2.5145673535324176
prey,argentina,argentina_18,gatherer,Diptera,Chironomidae,0.5833333333333334,NA,NA
prey,argentina,argentina_18,gatherer,Diptera,Psychodidae,0.4714285714285714,NA,NA
prey,argentina,argentina_18,gatherer,Diptera,Stratiomyidae,7.5,NA,NA
prey,argentina,argentina_18,gatherer,Diptera,Syrphidae,3,NA,NA
prey,argentina,argentina_18,scraper,Coleoptera,Scirtidae,0.060563380281690136,NA,NA
predator,argentina,argentina_19,engulfer,Coleoptera,NA,6.6,24.22108208955224,2.5405123310770397
prey,argentina,argentina_19,gatherer,Diptera,Chironomidae,0.16666666666666669,24.22108208955224,2.5405123310770397
prey,argentina,argentina_19,scraper,Coleoptera,Scirtidae,0.16,24.22108208955224,2.5405123310770397
prey,argentina,argentina_19,shredder,Diptera,Tipulidae,2.3000000000000003,24.22108208955224,2.5405123310770397
prey,argentina,argentina_2,filter.feeder,Diptera,Culicidae,0.2285714285714286,23.13837064676617,2.4318026242308886
prey,argentina,argentina_2,gatherer,Diptera,Chironomidae,2.1666666666666665,23.13837064676617,2.4318026242308886
prey,argentina,argentina_2,gatherer,Diptera,Psychodidae,1.4142857142857144,23.13837064676617,2.4318026242308886
prey,argentina,argentina_2,gatherer,Diptera,Stratiomyidae,15,23.13837064676617,2.4318026242308886
prey,argentina,argentina_2,gatherer,Diptera,Syrphidae,48.3,23.13837064676617,2.4318026242308886
